ID,Pitcher,PitcherThrows,PitcherTeam,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,RelHeight,RelSide,RetagPitchType
310,Pitcher A,Right,Team A,82.13119,3015.158605,43.3307,-7.83496,-8.67237,5.38176,1.66765,Slider
311,Pitcher A,Right,Team A,79.11893,2998.115402,32.441988,-13.7628,-9.71977,5.50898,1.50504,Curveball
312,Pitcher A,Right,Team A,82.08892,2970.57954,20.688749,-5.88658,-2.71788,5.39819,1.69298,Slider
313,Pitcher A,Right,Team A,93.12771,2548.513042,255.520032,4.66803,14.28709,5.46705,1.34134,Sinker
314,Pitcher A,Right,Team A,79.51695,2863.073182,60.172494,-6.78611,-14.21603,5.44837,1.66227,Curveball
315,Pitcher A,Right,Team A,93.5299,2459.698649,232.085741,10.6063,12.29788,5.49465,1.2896,Fastball
316,Pitcher A,Right,Team A,92.97244,2495.604949,253.28668,6.15567,17.10867,5.42519,1.29585,Sinker
317,Pitcher A,Right,Team A,79.77202,3080.390442,53.265724,-12.73012,-18.87529,5.61771,1.2015,Curveball
318,Pitcher A,Right,Team A,81.63147,3047.781337,59.574616,-6.68473,-13.51068,5.37238,1.63087,Slider
319,Pitcher A,Right,Team A,94.51468,2611.121013,229.478873,9.0076,9.51036,5.4221,1.61723,Fastball
320,Pitcher A,Right,Team A,83.79293,2997.757786,73.120189,-1.95988,-10.69776,5.33158,1.63138,Slider
321,Pitcher A,Right,Team A,79.88467,2967.602587,56.859758,-8.35563,-14.96954,5.58238,1.58324,Curveball
322,Pitcher A,Right,Team A,78.47661,3089.019705,44.618394,-13.75804,-14.95682,5.66616,1.40541,Curveball
323,Pitcher A,Right,Team A,92.73397,2551.09537,257.838758,4.79815,17.60048,5.37595,1.35072,Sinker
324,Pitcher A,Right,Team A,92.32885,2555.086347,266.772926,1.56276,8.95347,5.32362,1.61987,Sinker
325,Pitcher A,Right,Team A,77.43513,2912.379665,44.773173,-13.30347,-14.59387,5.82652,1.25487,Curveball
326,Pitcher A,Right,Team A,77.65879,2959.755591,63.455544,-6.16347,-14.80969,5.77573,1.30432,Curveball
327,Pitcher A,Right,Team A,93.26699,2408.933462,239.050552,8.88591,13.31812,5.57641,1.29847,Sinker
328,Pitcher A,Right,Team A,93.91582,2360.962281,250.933012,6.3241,15.4319,5.5493,1.25303,Sinker
329,Pitcher A,Right,Team A,94.30744,2315.907865,230.603597,10.65859,11.77465,5.76411,1.18037,Sinker
330,Pitcher A,Right,Team A,94.17959,2399.272086,247.832169,7.41772,15.72458,5.65909,1.51694,Sinker
331,Pitcher A,Right,Team A,83.04755,2981.471893,65.504818,-2.75,-8.49536,5.5732,1.27804,Slider
332,Pitcher A,Right,Team A,94.695,2389.73561,232.616316,8.56107,9.96827,5.64634,1.16091,Sinker
333,Pitcher A,Right,Team A,94.43088,2401.314833,248.685327,6.8463,15.24005,5.73662,1.32829,Sinker
334,Pitcher A,Right,Team A,94.56354,2560.588847,210.214912,7.33559,3.79221,5.65109,1.37021,Fastball
335,Pitcher A,Right,Team A,83.22123,2933.971447,57.270073,-4.39705,-8.48237,5.67576,1.37363,Slider
336,Pitcher A,Right,Team A,94.74328,2448.084695,198.531299,8.54941,2.5861,5.74959,1.18,Fastball
337,Pitcher A,Right,Team A,93.94368,2550.453472,187.58663,10.47792,1.27091,5.77251,1.34182,Fastball
339,Pitcher A,Right,Team A,81.31126,2509.051935,261.171195,1.96992,5.99244,5.93046,-1.04263,Slider
340,Pitcher A,Right,Team A,78.17821,2628.4083,347.175141,-10.21339,2.60311,6.08074,-0.65523,Slider
341,Pitcher A,Right,Team A,82.51478,2441.035587,190.679094,7.22241,1.16874,5.8258,-1.11043,Fastball
342,Pitcher A,Right,Team A,86.2584,2328.164216,152.021727,14.37131,-7.06453,6.16331,-0.57777,Fastball
343,Pitcher A,Right,Team A,77.7458,2499.756227,317.157134,-7.71556,8.44174,6.09222,-0.61754,Slider
344,Pitcher A,Right,Team A,79.06602,1577.511189,171.045405,14.04749,-1.9878,5.86681,-1.04267,Changeup
345,Pitcher A,Right,Team A,81.59254,2504.185235,211.731249,10.78733,5.88717,5.78584,-1.21849,Fastball
346,Pitcher A,Right,Team A,78.80101,1561.945304,169.427941,14.60481,-2.46386,5.79109,-1.18308,Changeup
347,Pitcher A,Right,Team A,77.92417,2610.59041,314.652799,-6.75378,8.14989,6.03486,-0.80996,Slider
348,Pitcher A,Right,Team A,81.36513,2862.271571,61.894261,-2.99008,-7.95252,5.62322,1.16299,Slider
349,Pitcher A,Right,Team A,93.87551,2457.774641,215.231066,10.84347,7.02374,5.7157,1.33956,Fastball
350,Pitcher A,Right,Team A,78.55633,2872.27264,40.373146,-12.11804,-11.49489,5.75495,1.47644,Curveball
351,Pitcher A,Right,Team A,94.22561,2423.462406,217.323671,10.22469,7.15016,5.66724,1.27683,Fastball
352,Pitcher A,Right,Team A,94.32872,2383.614356,237.424545,9.71123,13.49599,5.74677,1.2365,Sinker
353,Pitcher A,Right,Team A,94.22377,2370.690199,227.004227,11.8782,11.62784,5.71933,1.06089,Fastball
354,Pitcher A,Right,Team A,93.84085,2530.417017,197.949327,10.5767,3.09126,5.70537,1.51556,Fastball
355,Pitcher A,Right,Team A,93.12134,2359.721228,201.032408,9.46599,3.31087,5.70088,1.69396,Fastball
356,Pitcher A,Right,Team A,82.01896,2876.070897,47.611283,-3.29567,-4.73634,5.55953,1.73517,Slider
357,Pitcher A,Right,Team A,92.26199,2429.676035,206.870182,8.76308,3.99335,5.53103,1.54361,Fastball
358,Pitcher A,Right,Team A,81.82489,2899.481155,65.528501,-1.92929,-6.788,5.58007,1.70686,Slider
359,Pitcher A,Right,Team A,91.99941,2423.069712,250.499433,6.10158,14.15461,5.69596,1.47481,Sinker
360,Pitcher A,Right,Team A,91.10442,2550.540359,205.585822,13.00871,5.78646,5.77108,1.34641,Fastball
361,Pitcher A,Right,Team A,82.63057,2955.254136,33.578662,-6.56099,-5.15134,5.60445,1.59767,Slider
362,Pitcher A,Right,Team A,92.16882,2331.14599,264.712849,2.48559,15.89434,5.60864,1.38929,Sinker
363,Pitcher A,Right,Team A,92.50329,2424.98226,269.074686,1.27973,16.02347,5.62442,1.49912,Sinker
364,Pitcher A,Right,Team A,81.67895,2932.536182,51.516802,-4.73197,-7.34339,5.53419,1.55349,Slider
365,Pitcher A,Right,Team A,91.93465,2412.393805,219.059291,6.61941,4.68882,5.58261,1.33689,Fastball
366,Pitcher A,Right,Team A,92.86789,2429.225297,225.155289,7.82493,7.01953,5.57279,1.46717,Fastball
367,Pitcher A,Right,Team A,79.13432,2956.999476,49.883029,-10.95268,-14.52143,5.75021,1.29143,Curveball
368,Pitcher A,Right,Team A,92.4566,2577.851104,221.799954,9.95457,8.12989,5.63729,1.22704,Fastball
369,Pitcher A,Right,Team A,92.12094,2526.550247,200.007951,10.77327,3.61457,5.66879,1.48938,Fastball
370,Pitcher A,Right,Team A,77.08675,2929.983567,37.296775,-14.18749,-11.84323,5.84425,1.38842,Curveball
371,Pitcher A,Right,Team A,90.97463,2574.857397,216.057975,9.41867,6.27063,5.62942,1.50052,Fastball
372,Pitcher A,Right,Team A,81.42518,2980.453247,61.106011,-4.60311,-10.38044,5.5212,1.51473,Slider
373,Pitcher A,Right,Team A,91.92132,2292.643626,235.826765,9.07713,11.99119,5.75915,1.46857,Sinker
374,Pitcher A,Right,Team A,91.33497,2305.933693,262.14797,3.08622,15.29615,5.64663,1.36563,Sinker
375,Pitcher A,Right,Team A,91.52744,2351.979137,267.669822,1.71976,18.09489,5.62524,1.62486,Sinker
376,Pitcher A,Right,Team A,76.88556,3006.091308,46.889133,-10.06107,-12.30316,5.82712,1.37362,Curveball
377,Pitcher A,Right,Team A,91.22463,2512.249647,216.774192,7.99225,5.2939,5.66663,1.54969,Fastball
378,Pitcher A,Right,Team A,80.24618,2843.77121,50.326056,-4.86221,-7.13587,5.63432,1.60172,Slider
379,Pitcher A,Right,Team A,81.34448,2927.034923,68.852839,-2.98925,-10.57819,5.62374,1.52778,Slider
380,Pitcher A,Right,Team A,93.18007,2276.737508,189.762808,10.81418,1.7152,5.67013,2.082,Fastball
381,Pitcher A,Right,Team A,93.8816,2539.880773,209.885082,12.0991,6.43839,5.53544,1.76094,Fastball
382,Pitcher A,Right,Team A,94.37139,2588.370147,209.165529,10.15564,5.20268,5.45545,1.65484,Fastball
383,Pitcher A,Right,Team A,94.95737,2537.04615,240.323772,7.75193,11.80335,5.59243,1.57203,Sinker
384,Pitcher A,Right,Team A,90.12831,2029.856995,238.653581,10.6463,15.57639,5.46803,2.20524,Changeup
385,Pitcher A,Right,Team A,79.29964,3109.110346,55.235128,-8.983,-15.07304,5.67431,1.82691,Curveball
386,Pitcher A,Right,Team A,81.56466,2941.081326,50.200501,-4.06126,-6.39292,5.53668,1.87517,Slider
387,Pitcher A,Right,Team A,92.74,2519.174387,232.737434,8.61304,10.0591,5.65054,1.29386,Fastball
388,Pitcher A,Right,Team A,93.11465,2617.557674,198.393883,10.72741,3.25504,5.73257,1.32299,Fastball
389,Pitcher A,Right,Team A,92.88797,2595.201723,218.202545,7.0813,4.8761,5.59642,1.77699,Fastball
390,Pitcher A,Right,Team A,84.744,2958.788434,33.194492,-3.95402,-3.31567,5.55613,1.96519,Slider
391,Pitcher A,Right,Team A,88.48088,1972.3344,259.419889,4.21957,17.0428,5.41341,2.02468,Changeup
392,Pitcher A,Right,Team A,94.35706,2643.35157,217.691687,11.95052,8.59469,5.4775,1.95138,Fastball
393,Pitcher A,Right,Team A,87.20433,1967.61675,255.908696,4.32292,13.10737,5.38273,2.21018,Changeup
394,Pitcher A,Right,Team A,93.87478,2625.571029,210.770615,10.75438,5.95359,5.49921,1.82788,Fastball
395,Pitcher A,Right,Team A,78.29611,2993.58915,58.823089,-8.95489,-17.0345,5.66715,1.79059,Curveball
396,Pitcher A,Right,Team A,87.56874,1834.89803,266.286704,1.98788,15.89859,5.37453,1.88781,Changeup
397,Pitcher A,Right,Team A,93.29595,2692.205258,194.319516,8.89721,2.05118,5.47521,1.69858,Fastball
398,Pitcher A,Right,Team A,82.00979,2945.975852,58.882607,-5.07229,-10.13489,5.53472,1.95642,Slider
399,Pitcher A,Right,Team A,94.08116,2521.193845,256.89264,4.3739,15.25009,5.47459,1.50039,Sinker
400,Pitcher A,Right,Team A,91.91037,2584.586878,189.679031,9.5778,1.48417,5.64651,1.58172,Fastball
401,Pitcher A,Right,Team A,89.31363,1934.706884,268.346033,1.54634,15.20339,5.32442,1.95449,Changeup
402,Pitcher A,Right,Team A,93.83615,2583.854344,216.017808,10.80308,7.16741,5.46539,1.93101,Fastball
403,Pitcher A,Right,Team A,92.42761,2582.552323,205.414877,8.65567,3.66358,5.439,1.73444,Fastball
404,Pitcher A,Right,Team A,93.49192,2616.180852,202.749059,10.95938,4.21378,5.56562,1.72725,Fastball
405,Pitcher A,Right,Team A,88.28114,2048.111774,259.594513,4.0991,16.3654,5.37182,2.02477,Changeup
406,Pitcher A,Right,Team A,88.63532,2035.630659,269.579242,1.23724,17.61981,5.36951,2.10805,Changeup
407,Pitcher A,Right,Team A,82.83239,2948.257278,42.591016,-3.70264,-4.48823,5.38061,1.89155,Slider
408,Pitcher A,Right,Team A,89.35304,2123.406988,265.611859,2.47473,17.80934,5.37829,1.81526,Changeup
409,Pitcher A,Right,Team A,83.88261,3061.363284,46.730074,-4.42236,-5.84465,5.41954,2.0146,Slider
410,Pitcher A,Right,Team A,79.31477,3151.494717,41.625824,-14.86524,-14.62863,5.62041,1.80754,Curveball
411,Pitcher A,Right,Team A,93.3744,2580.545741,206.620239,10.59225,4.85551,5.42944,1.72672,Fastball
412,Pitcher A,Right,Team A,84.54132,3025.648294,58.946472,-1.59008,-4.30362,5.40095,1.67645,Slider
